NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
1	1	-1	-1	0.000000	0	0	0	1	1.000000	0.001458	0.000000	0	0	0
2	1	-1	-1	1.007435	0	0	0	2	1.000000	0.001458	0.000000	0	0	0
6	1	-1	-1	2.011639	0	0	0	6	1.000000	0.001458	0.000000	0	0	0
11	1	-1	-1	3.012121	0	0	0	11	1.000000	0.001458	0.000000	0	0	0
8	1	-1	-1	4.012237	0	0	0	8	1.000000	0.001458	0.000000	0	0	0
13	1	-1	-1	5.012679	0	0	0	13	1.000000	0.001458	0.000000	0	0	0
10	1	-1	-1	6.013138	0	0	0	10	1.000000	0.001458	0.000000	0	0	0
11	1	-1	-1	7.013175	0	0	0	11	1.000000	0.001458	0.000000	0	0	0
17	1	-1	-1	8.013228	0	0	0	17	1.000000	0.001458	0.000000	0	0	0
32	1	-1	-1	9.017529	0	0	0	32	1.000000	0.001458	0.000000	0	0	0
28	1	-1	-1	10.019196	0	0	0	28	1.000000	0.001458	0.000000	0	0	0
24	1	-1	-1	11.019315	0	0	0	24	1.000000	0.001458	0.000000	0	0	0
18	1	-1	-1	12.019585	0	0	0	18	1.000000	0.001458	0.000000	0	0	0
20	1	-1	-1	13.020629	0	0	0	20	1.000000	0.001458	0.000000	0	0	0
28	1	-1	-1	14.021733	0	0	0	28	1.000000	0.001458	0.000000	0	0	0
37	1	-1	-1	15.021748	0	0	0	37	1.000000	0.001458	0.000000	0	0	0
36	1	-1	-1	16.022928	0	0	0	36	1.000000	0.001458	0.000000	0	0	0
42	1	-1	-1	17.023012	0	0	0	42	1.000000	0.001458	0.000000	0	0	0
62	1	-1	-1	18.028490	0	0	0	62	1.000000	0.001458	0.000000	0	0	0
91	1	-1	-1	19.032789	0	0	0	91	1.000000	0.001458	0.000000	0	0	0
97	1	-1	-1	20.037031	0	0	0	97	1.000000	0.001458	0.000000	0	0	0
118	1	-1	-1	21.037876	0	0	0	118	1.000000	0.001458	0.000000	0	0	0
122	1	-1	-1	22.038094	0	0	0	122	1.000000	0.001458	0.000000	0	0	0
142	1	-1	-1	23.040693	0	0	0	142	1.000000	0.001458	0.000000	0	0	0
139	1	-1	-1	24.040815	0	0	0	139	1.000000	0.001458	0.000000	0	0	0
