Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	5
10.019196	2	0.071429	2
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	1
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	12	0.428571	1
20.037031	1	0.010309	9
20.037031	2	0.020619	7
20.037031	3	0.030928	2
20.037031	4	0.041237	2
20.037031	5	0.051546	3
20.037031	6	0.061856	0
20.037031	7	0.072165	1
20.037031	8	0.082474	1
20.037031	9	0.092784	1
20.037031	10	0.103093	0
20.037031	21	0.216495	1
30.042812	1	0.004762	32
30.042812	2	0.009524	13
30.042812	3	0.014286	8
30.042812	4	0.019048	5
30.042812	5	0.023810	1
30.042812	6	0.028571	5
30.042812	7	0.033333	1
30.042812	8	0.038095	1
30.042812	9	0.042857	0
30.042812	10	0.047619	1
30.042812	15	0.071429	1
30.042812	17	0.080952	1
30.042812	16	0.076190	1
40.046562	1	0.002481	71
40.046562	2	0.004963	27
40.046562	3	0.007444	18
40.046562	4	0.009926	10
40.046562	5	0.012407	7
40.046562	6	0.014888	5
40.046562	7	0.017370	1
40.046562	8	0.019851	1
40.046562	9	0.022333	2
40.046562	10	0.024814	0
40.046562	14	0.034739	2
40.046562	15	0.037221	1
40.046562	17	0.042184	1
40.046562	13	0.032258	2
50.049812	1	0.001965	86
50.049812	2	0.003929	38
50.049812	3	0.005894	23
50.049812	4	0.007859	12
50.049812	5	0.009823	10
50.049812	6	0.011788	6
50.049812	7	0.013752	3
50.049812	8	0.015717	3
50.049812	9	0.017682	2
50.049812	10	0.019646	2
50.049812	11	0.021611	1
50.049812	14	0.027505	1
50.049812	24	0.047151	1
50.049812	12	0.023576	1
60.054382	1	0.001852	105
60.054382	2	0.003704	34
60.054382	3	0.005556	22
60.054382	4	0.007407	14
60.054382	5	0.009259	12
60.054382	6	0.011111	6
60.054382	7	0.012963	5
60.054382	8	0.014815	3
60.054382	9	0.016667	1
60.054382	10	0.018519	0
60.054382	12	0.022222	1
60.054382	22	0.040741	1
60.054382	20	0.037037	1
60.054382	27	0.050000	1
70.058044	1	0.001919	105
70.058044	2	0.003839	45
70.058044	3	0.005758	18
70.058044	4	0.007678	14
70.058044	5	0.009597	13
70.058044	6	0.011516	4
70.058044	7	0.013436	4
70.058044	8	0.015355	1
70.058044	9	0.017274	1
70.058044	10	0.019194	1
70.058044	11	0.021113	2
70.058044	14	0.026871	1
70.058044	24	0.046065	1
70.058044	12	0.023033	1
80.061272	1	0.001773	103
80.061272	2	0.003546	36
80.061272	3	0.005319	25
80.061272	4	0.007092	8
80.061272	5	0.008865	14
80.061272	6	0.010638	4
80.061272	7	0.012411	5
80.061272	8	0.014184	2
80.061272	9	0.015957	1
80.061272	10	0.017730	5
80.061272	13	0.023050	1
80.061272	12	0.021277	1
80.061272	39	0.069149	1
80.061272	14	0.024823	1
90.063957	1	0.001364	137
90.063957	2	0.002729	51
90.063957	3	0.004093	34
90.063957	4	0.005457	13
90.063957	5	0.006821	13
90.063957	6	0.008186	8
90.063957	7	0.009550	6
90.063957	8	0.010914	3
90.063957	9	0.012278	4
90.063957	10	0.013643	3
90.063957	14	0.019100	2
90.063957	13	0.017735	1
90.063957	23	0.031378	1
90.063957	20	0.027285	1
90.063957	11	0.015007	1
100.065453	1	0.001001	180
100.065453	2	0.002002	68
100.065453	3	0.003003	32
100.065453	4	0.004004	19
100.065453	5	0.005005	13
100.065453	6	0.006006	14
100.065453	7	0.007007	5
100.065453	8	0.008008	9
100.065453	9	0.009009	7
100.065453	10	0.010010	2
100.065453	20	0.020020	1
100.065453	12	0.012012	1
100.065453	15	0.015015	2
100.065453	17	0.017017	2
100.065453	11	0.011011	3
100.065453	13	0.013013	1
100.065453	16	0.016016	1
100.065453	14	0.014014	1
110.067223	1	0.000629	257
110.067223	2	0.001258	127
110.067223	3	0.001887	62
110.067223	4	0.002516	46
110.067223	5	0.003145	30
110.067223	6	0.003774	17
110.067223	7	0.004403	13
110.067223	8	0.005031	11
110.067223	9	0.005660	7
110.067223	10	0.006289	3
110.067223	36	0.022642	1
110.067223	13	0.008176	4
110.067223	15	0.009434	1
110.067223	12	0.007547	4
110.067223	18	0.011321	1
110.067223	16	0.010063	1
120.069542	1	0.000459	422
120.069542	2	0.000917	182
120.069542	3	0.001376	92
120.069542	4	0.001834	53
120.069542	5	0.002293	28
120.069542	6	0.002751	22
120.069542	7	0.003210	14
120.069542	8	0.003668	6
120.069542	9	0.004127	11
120.069542	10	0.004585	10
120.069542	12	0.005502	3
120.069542	11	0.005044	5
120.069542	31	0.014214	1
120.069542	14	0.006419	1
120.069542	13	0.005961	3
120.069542	15	0.006878	2
120.069542	17	0.007795	2
120.069542	16	0.007336	2
120.069542	19	0.008712	1
130.070816	1	0.000383	461
130.070816	2	0.000766	205
130.070816	3	0.001149	128
130.070816	4	0.001533	50
130.070816	5	0.001916	48
130.070816	6	0.002299	29
130.070816	7	0.002682	17
130.070816	8	0.003065	11
130.070816	9	0.003448	13
130.070816	10	0.003831	11
130.070816	11	0.004215	6
130.070816	29	0.011111	1
130.070816	15	0.005747	4
