Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
7996	0	9	9	1	0	1	0	1.206277	0.001458	194.086761	732279
0	0	12	12	1	0	1	0	1.179118	0.001458	236.630707	263328
3346	0	24	24	1	0	1	0	1.185470	0.001458	288.626862	4393
63624	9	39	39	2	0	1	0	1.579237	0.001458	319.464111	723461
142051	12	105	105	2	0	1	0	1.744789	0.001458	401.356079	263328
0	39	148	148	3	0	1	0	1.984719	0.001458	425.919647	2079
0	39	184	184	3	0	1	1	1.975952	0.001458	442.802917	623123
6051	39	297	297	3	0	1	0	1.860795	0.001458	477.524384	17747
108671	184	287	287	4	0	1	1	2.418991	0.001458	476.006500	623123
44489	287	339	339	5	0	1	2	2.729281	0.001458	487.661682	121143
6882	297	665	665	4	0	1	0	2.166177	0.001458	536.836792	11597
208950	287	483	483	5	0	1	1	2.965411	0.001458	511.560120	339900
755	9	477	477	2	0	1	0	1.646946	0.001458	510.398956	755
19	148	489	489	4	0	1	0	2.215497	0.001458	512.512573	19
15040	105	954	954	3	0	1	0	2.437238	0.001458	564.498596	15593
6678	105	915	915	3	0	1	0	2.332455	0.001458	561.345764	6685
25	105	919	919	3	0	1	0	1.810391	0.001458	561.666260	25
1019	923	981	981	4	0	1	0	2.469551	0.001458	567.272583	1019
0	105	923	923	3	0	1	0	2.285145	0.001458	561.757019	1019
283	105	998	998	3	0	1	0	1.969766	0.001458	568.578064	283
1291	105	1433	1433	3	0	1	0	1.943726	0.001458	597.209106	1291
38141	483	1077	1077	6	0	1	1	3.570724	0.001458	575.075562	40096
19067	105	1241	1241	3	0	1	1	2.338123	0.001458	585.620972	21158
682	39	1194	1194	3	0	1	0	1.763451	0.001458	582.722412	682
8926	105	1152	1152	3	0	1	2	2.166150	0.001458	580.845093	11603
2060	148	1178	1178	4	0	1	0	2.772574	0.001458	581.845520	2060
