Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
0.000000	1	0	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
1.007435	2	1	0	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0
2.011639	6	6	1	0	0.000000	0.000000	0.000000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1	1	1	1	1	1	1	1	6	0	0	0	0	0	0	0	0	0	0
3.012121	11	14	4	0	0.363636	0.000000	0.231405	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2	2	1	1	1	2	1	2	11	0	0	0	0	0	0	0	0	0	0
4.012237	8	23	16	0	0.500000	0.000000	0.250000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2	2	1	1	1	3	1	3	8	0	0	0	0	0	0	0	0	0	0
5.012679	13	34	22	0	0.692308	0.000000	0.213018	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	5	13	0	0	0	0	0	0	0	0	0	0
6.013138	10	42	33	0	1.000000	0.000000	0.200000	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	4	4	1	1	1	4	1	6	10	0	0	0	0	0	0	0	0	0	0
7.013175	11	52	42	0	0.363636	0.000000	0.231405	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2	2	1	1	1	4	1	6	11	0	0	0	0	0	0	0	0	0	0
8.013228	17	66	50	0	0.470588	0.000000	0.366782	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	3	3	1	1	1	4	1	8	17	0	0	0	0	0	0	0	0	0	0
9.017529	32	99	68	0	1.312500	0.000000	1.402344	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	11	11	1	1	1	12	1	19	32	0	0	0	0	0	0	0	0	0	0
