Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	5
10.019196	2	0.071429	2
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	1
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	12	0.428571	1
20.037031	1	0.010309	9
20.037031	2	0.020619	7
20.037031	3	0.030928	2
20.037031	4	0.041237	2
20.037031	5	0.051546	3
20.037031	6	0.061856	0
20.037031	7	0.072165	1
20.037031	8	0.082474	1
20.037031	9	0.092784	1
20.037031	10	0.103093	0
20.037031	21	0.216495	1
30.050573	1	0.006289	26
30.050573	2	0.012579	11
30.050573	3	0.018868	6
30.050573	4	0.025157	4
30.050573	5	0.031447	0
30.050573	6	0.037736	2
30.050573	7	0.044025	0
30.050573	8	0.050314	1
30.050573	9	0.056604	2
30.050573	10	0.062893	2
30.050573	19	0.119497	1
40.057194	1	0.003086	55
40.057194	2	0.006173	25
40.057194	3	0.009259	13
40.057194	4	0.012346	4
40.057194	5	0.015432	10
40.057194	6	0.018519	1
40.057194	7	0.021605	3
40.057194	8	0.024691	1
40.057194	9	0.027778	1
40.057194	10	0.030864	1
40.057194	32	0.098765	1
40.057194	17	0.052469	1
40.057194	11	0.033951	1
50.059906	1	0.002309	83
50.059906	2	0.004619	36
50.059906	3	0.006928	19
50.059906	4	0.009238	11
50.059906	5	0.011547	8
50.059906	6	0.013857	1
50.059906	7	0.016166	2
50.059906	8	0.018476	1
50.059906	9	0.020785	5
50.059906	10	0.023095	1
50.059906	17	0.039261	1
50.059906	11	0.025404	1
50.059906	12	0.027714	1
50.059906	14	0.032333	1
60.063789	1	0.001859	86
60.063789	2	0.003717	37
60.063789	3	0.005576	19
60.063789	4	0.007435	13
60.063789	5	0.009294	10
60.063789	6	0.011152	9
60.063789	7	0.013011	5
60.063789	8	0.014870	2
60.063789	9	0.016729	2
60.063789	10	0.018587	3
60.063789	14	0.026022	1
60.063789	11	0.020446	3
60.063789	19	0.035316	1
70.066063	1	0.001414	132
70.066063	2	0.002829	60
70.066063	3	0.004243	31
70.066063	4	0.005658	12
70.066063	5	0.007072	10
70.066063	6	0.008487	7
70.066063	7	0.009901	2
70.066063	8	0.011315	5
70.066063	9	0.012730	0
70.066063	10	0.014144	2
70.066063	17	0.024045	2
70.066063	16	0.022631	2
70.066063	13	0.018388	1
70.066063	18	0.025460	1
70.066063	28	0.039604	1
70.066063	11	0.015559	1
70.066063	12	0.016973	1
80.068192	1	0.001020	176
80.068192	2	0.002041	67
80.068192	3	0.003061	47
80.068192	4	0.004082	23
80.068192	5	0.005102	13
80.068192	6	0.006122	13
80.068192	7	0.007143	10
80.068192	8	0.008163	3
80.068192	9	0.009184	3
80.068192	10	0.010204	1
80.068192	12	0.012245	3
80.068192	14	0.014286	1
80.068192	13	0.013265	2
80.068192	20	0.020408	1
80.068192	22	0.022449	1
80.068192	19	0.019388	1
80.068192	11	0.011224	1
80.068192	15	0.015306	1
90.069923	1	0.000746	222
90.069923	2	0.001491	95
90.069923	3	0.002237	48
90.069923	4	0.002983	34
90.069923	5	0.003729	16
90.069923	6	0.004474	14
90.069923	7	0.005220	9
90.069923	8	0.005966	3
90.069923	9	0.006711	7
90.069923	10	0.007457	3
90.069923	11	0.008203	6
90.069923	20	0.014914	1
90.069923	12	0.008949	6
90.069923	16	0.011931	4
90.069923	21	0.015660	1
90.069923	13	0.009694	2
90.069923	17	0.012677	1
90.069923	19	0.014169	1
100.071671	1	0.000561	309
100.071671	2	0.001122	142
100.071671	3	0.001683	90
100.071671	4	0.002243	40
100.071671	5	0.002804	27
100.071671	6	0.003365	19
100.071671	7	0.003926	10
100.071671	8	0.004487	12
100.071671	9	0.005048	6
100.071671	10	0.005609	7
100.071671	16	0.008974	2
100.071671	17	0.009534	1
100.071671	15	0.008413	2
100.071671	12	0.006730	3
100.071671	13	0.007291	4
100.071671	18	0.010095	1
100.071671	11	0.006169	2
100.071671	14	0.007852	1
110.072701	1	0.000500	356
110.072701	2	0.001000	150
110.072701	3	0.001500	92
110.072701	4	0.002000	45
110.072701	5	0.002500	30
110.072701	6	0.003000	29
110.072701	7	0.003500	13
110.072701	8	0.004000	15
110.072701	9	0.004500	8
110.072701	10	0.005000	6
110.072701	12	0.006000	3
110.072701	17	0.008500	1
110.072701	13	0.006500	2
110.072701	14	0.007000	3
110.072701	45	0.022500	1
110.072701	19	0.009500	1
110.072701	21	0.010500	1
110.072701	15	0.007500	1
120.073669	1	0.000411	434
120.073669	2	0.000822	166
120.073669	3	0.001233	102
120.073669	4	0.001644	66
120.073669	5	0.002055	53
120.073669	6	0.002466	22
120.073669	7	0.002877	18
120.073669	8	0.003288	16
120.073669	9	0.003699	17
120.073669	10	0.004110	2
120.073669	12	0.004932	5
120.073669	22	0.009042	2
120.073669	13	0.005343	3
120.073669	19	0.007809	1
120.073669	14	0.005754	1
120.073669	17	0.006987	1
120.073669	11	0.004521	5
120.073669	25	0.010275	1
130.074570	1	0.000344	485
130.074570	2	0.000688	200
130.074570	3	0.001031	128
130.074570	4	0.001375	74
130.074570	5	0.001719	42
130.074570	6	0.002063	29
