Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	0
10.019196	2	0.071429	0
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	0
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	28	1.000000	1
20.037031	1	0.010309	0
20.037031	2	0.020619	0
20.037031	3	0.030928	0
20.037031	4	0.041237	0
20.037031	5	0.051546	0
20.037031	6	0.061856	0
20.037031	7	0.072165	0
20.037031	8	0.082474	0
20.037031	9	0.092784	0
20.037031	10	0.103093	0
20.037031	97	1.000000	1
30.050573	1	0.006289	0
30.050573	2	0.012579	0
30.050573	3	0.018868	0
30.050573	4	0.025157	0
30.050573	5	0.031447	0
30.050573	6	0.037736	0
30.050573	7	0.044025	0
30.050573	8	0.050314	0
30.050573	9	0.056604	0
30.050573	10	0.062893	0
30.050573	159	1.000000	1
40.057194	1	0.003086	0
40.057194	2	0.006173	0
40.057194	3	0.009259	0
40.057194	4	0.012346	0
40.057194	5	0.015432	0
40.057194	6	0.018519	0
40.057194	7	0.021605	0
40.057194	8	0.024691	0
40.057194	9	0.027778	0
40.057194	10	0.030864	0
40.057194	324	1.000000	1
50.059906	1	0.002309	0
50.059906	2	0.004619	0
50.059906	3	0.006928	0
50.059906	4	0.009238	0
50.059906	5	0.011547	0
50.059906	6	0.013857	0
50.059906	7	0.016166	0
50.059906	8	0.018476	0
50.059906	9	0.020785	0
50.059906	10	0.023095	0
50.059906	433	1.000000	1
60.063789	1	0.001859	1
60.063789	2	0.003717	0
60.063789	3	0.005576	0
60.063789	4	0.007435	0
60.063789	5	0.009294	0
60.063789	6	0.011152	0
60.063789	7	0.013011	0
60.063789	8	0.014870	0
60.063789	9	0.016729	0
60.063789	10	0.018587	0
60.063789	537	0.998141	1
70.066063	1	0.001414	0
70.066063	2	0.002829	0
70.066063	3	0.004243	0
70.066063	4	0.005658	0
70.066063	5	0.007072	0
70.066063	6	0.008487	0
70.066063	7	0.009901	0
70.066063	8	0.011315	0
70.066063	9	0.012730	0
70.066063	10	0.014144	0
70.066063	707	1.000000	1
80.068192	1	0.001020	0
80.068192	2	0.002041	0
80.068192	3	0.003061	0
80.068192	4	0.004082	0
80.068192	5	0.005102	0
80.068192	6	0.006122	0
80.068192	7	0.007143	0
80.068192	8	0.008163	0
80.068192	9	0.009184	0
80.068192	10	0.010204	0
80.068192	980	1.000000	1
90.069923	1	0.000746	0
90.069923	2	0.001491	0
90.069923	3	0.002237	0
90.069923	4	0.002983	0
90.069923	5	0.003729	0
90.069923	6	0.004474	0
90.069923	7	0.005220	0
90.069923	8	0.005966	0
90.069923	9	0.006711	0
90.069923	10	0.007457	0
90.069923	1341	1.000000	1
100.071671	1	0.000561	0
100.071671	2	0.001122	0
100.071671	3	0.001683	0
100.071671	4	0.002243	0
100.071671	5	0.002804	0
100.071671	6	0.003365	0
100.071671	7	0.003926	0
100.071671	8	0.004487	0
100.071671	9	0.005048	0
100.071671	10	0.005609	0
100.071671	1783	1.000000	1
110.072701	1	0.000500	0
110.072701	2	0.001000	1
110.072701	3	0.001500	0
110.072701	4	0.002000	0
110.072701	5	0.002500	0
110.072701	6	0.003000	0
110.072701	7	0.003500	0
110.072701	8	0.004000	0
110.072701	9	0.004500	0
110.072701	10	0.005000	0
110.072701	1998	0.999000	1
120.073669	1	0.000411	0
120.073669	2	0.000822	0
120.073669	3	0.001233	0
120.073669	4	0.001644	0
120.073669	5	0.002055	0
120.073669	6	0.002466	0
120.073669	7	0.002877	0
120.073669	8	0.003288	0
120.073669	9	0.003699	0
120.073669	10	0.004110	0
120.073669	2433	1.000000	1
130.074570	1	0.000344	0
130.074570	2	0.000688	1
130.074570	3	0.001031	0
130.074570	4	0.001375	0
130.074570	5	0.001719	0
130.074570	6	0.002063	0
130.074570	7	0.002406	0
130.074570	8	0.002750	0
130.074570	9	0.003094	0
130.074570	10	0.003438	0
130.074570	2907	0.999312	1
140.075500	1	0.000305	1
140.075500	2	0.000610	0
140.075500	3	0.000915	0
140.075500	4	0.001220	0
140.075500	5	0.001525	0
140.075500	6	0.001830	0
140.075500	7	0.002135	0
140.075500	8	0.002441	0
140.075500	9	0.002746	0
140.075500	10	0.003051	0
140.075500	3277	0.999695	1
150.076401	1	0.000274	0
150.076401	2	0.000548	0
150.076401	3	0.000823	0
150.076401	4	0.001097	0
150.076401	5	0.001371	0
150.076401	6	0.001645	0
150.076401	7	0.001919	0
150.076401	8	0.002194	0
150.076401	9	0.002468	0
150.076401	10	0.002742	0
150.076401	3647	1.000000	1
160.077072	1	0.000257	0
160.077072	2	0.000514	0
160.077072	3	0.000770	0
160.077072	4	0.001027	0
160.077072	5	0.001284	0
160.077072	6	0.001541	0
160.077072	7	0.001798	0
160.077072	8	0.002054	0
160.077072	9	0.002311	0
160.077072	10	0.002568	0
160.077072	3894	1.000000	1
170.078430	1	0.000244	0
170.078430	2	0.000487	0
170.078430	3	0.000731	0
170.078430	4	0.000975	0
170.078430	5	0.001218	0
170.078430	6	0.001462	0
170.078430	7	0.001706	0
170.078430	8	0.001949	0
170.078430	9	0.002193	0
170.078430	10	0.002437	0
