Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
0	0	36	36	1	0	1	0	1.205844	0.001458	324.193054	1000000
478380	36	93	93	2	0	1	0	2.342212	0.001458	433.713898	1000000
82890	148	173	173	4	0	1	0	3.283785	0.001458	490.392365	183734
0	93	141	141	3	0	1	0	2.863560	0.001458	472.249298	12052
8	93	170	170	3	0	1	0	2.841817	0.001458	488.906281	8
64801	93	148	148	3	0	1	0	2.380690	0.001458	474.661133	269010
2677	93	279	279	3	0	1	0	2.906606	0.001458	513.200317	23181
15794	93	248	248	3	0	1	0	2.971819	0.001458	507.571106	16262
1443	93	291	291	3	0	1	0	2.871165	0.001458	514.586853	7727
848	173	452	452	5	0	1	0	3.586434	0.001458	532.287354	963
72	93	310	310	3	0	1	0	2.621647	0.001458	517.227173	72
23	93	385	385	3	0	1	0	2.608489	0.001458	526.933350	23
111	93	360	360	3	0	1	0	2.717830	0.001458	523.878479	112
39807	93	392	392	3	0	1	1	3.259376	0.001458	527.228088	42668
0	93	391	391	3	0	1	0	2.601707	0.001458	527.209351	3845
6214	141	521	521	4	0	1	0	3.587284	0.001458	537.574707	6214
0	173	544	544	5	0	1	0	3.680829	0.001458	539.374451	28447
11	93	600	600	3	0	1	0	2.584646	0.001458	543.276245	11
327	93	610	610	3	0	1	0	2.497767	0.001458	544.046265	814
2	93	598	598	3	0	1	0	2.445903	0.001458	543.062683	2
256	93	738	738	3	0	1	1	2.374527	0.001458	552.070862	256
1192	773	1180	1180	5	0	1	0	3.508659	0.001458	572.570801	1449
1523	93	649	649	3	0	1	0	2.696499	0.001458	546.557678	12479
39311	93	660	660	3	0	1	0	3.293904	0.001458	547.192017	62036
199	391	976	976	4	0	1	0	2.927925	0.001458	564.083496	199
5131	93	714	714	3	0	1	0	2.750193	0.001458	550.249512	5579
1721	93	771	771	3	0	1	0	3.104146	0.001458	554.033264	6785
4354	141	773	773	4	0	1	0	3.253155	0.001458	554.125305	5838
9735	279	859	859	4	0	1	0	3.158177	0.001458	559.207153	10232
920	93	819	819	3	0	1	0	2.526513	0.001458	556.788147	920
14647	173	810	810	5	0	1	0	3.908999	0.001458	556.294556	16494
26	93	842	842	3	0	1	0	2.388697	0.001458	558.495361	26
4151	173	992	992	5	0	1	0	3.456897	0.001458	564.524780	4154
519	93	850	850	3	0	1	0	2.702190	0.001458	558.773071	519
11057	148	1165	1165	4	0	1	0	3.033072	0.001458	571.954224	11057
7201	93	918	918	3	0	1	0	2.848336	0.001458	561.811218	7677
27991	544	939	939	6	0	1	0	4.210714	0.001458	562.408875	28447
2048	173	1230	1230	5	0	1	0	3.890878	0.001458	574.979065	2048
63	93	1800	1800	3	0	1	0	2.486850	0.001458	591.797424	63
1376	660	1011	1011	4	0	1	0	3.702263	0.001458	565.076172	1376
11090	93	1170	1170	3	0	1	0	3.181533	0.001458	572.147827	11091
148	93	1135	1135	3	0	1	0	2.675248	0.001458	570.383728	148
812	93	1068	1068	3	0	1	0	2.657039	0.001458	567.646973	812
879	93	1075	1075	3	0	1	0	2.827441	0.001458	567.807556	879
4579	93	1137	1137	3	0	1	0	2.752195	0.001458	570.464355	5020
893	93	1143	1143	3	0	1	0	2.966660	0.001458	570.825562	893
498	291	1277	1277	4	0	1	0	3.070907	0.001458	576.668884	498
9409	279	1073	1073	4	0	1	0	3.515334	0.001458	567.733276	9738
947	93	1156	1156	3	0	1	0	2.552462	0.001458	571.633667	947
1515	392	1242	1242	4	0	1	1	3.540954	0.001458	575.337219	1515
16	173	1319	1319	5	0	1	0	3.379982	0.001458	578.150269	16
345	93	1276	1276	3	0	1	0	2.613275	0.001458	576.664368	345
10948	649	1600	1600	4	0	1	0	3.478653	0.001458	586.219849	10956
618	392	1350	1350	4	0	1	1	3.426206	0.001458	579.152893	618
235	93	1586	1586	3	0	1	0	2.504071	0.001458	586.051331	235
1066	173	1637	1637	5	0	1	0	3.808858	0.001458	587.064087	1066
3745	93	1871	1871	3	0	1	0	3.109013	0.001458	593.453674	3749
450	93	1431	1431	3	0	1	0	2.632009	0.001458	581.562378	450
