Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	0
10.019196	2	0.071429	0
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	0
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	28	1.000000	1
20.037031	1	0.010309	0
20.037031	2	0.020619	0
20.037031	3	0.030928	0
20.037031	4	0.041237	0
20.037031	5	0.051546	0
20.037031	6	0.061856	0
20.037031	7	0.072165	0
20.037031	8	0.082474	0
20.037031	9	0.092784	0
20.037031	10	0.103093	0
20.037031	97	1.000000	1
30.047401	1	0.005814	0
30.047401	2	0.011628	0
30.047401	3	0.017442	0
30.047401	4	0.023256	0
30.047401	5	0.029070	0
30.047401	6	0.034884	0
30.047401	7	0.040698	0
30.047401	8	0.046512	0
30.047401	9	0.052326	0
30.047401	10	0.058140	0
30.047401	172	1.000000	1
40.053871	1	0.002725	0
40.053871	2	0.005450	0
40.053871	3	0.008174	0
40.053871	4	0.010899	0
40.053871	5	0.013624	0
40.053871	6	0.016349	0
40.053871	7	0.019074	0
40.053871	8	0.021798	0
40.053871	9	0.024523	0
40.053871	10	0.027248	0
40.053871	367	1.000000	1
50.055294	1	0.002288	0
50.055294	2	0.004577	0
50.055294	3	0.006865	0
50.055294	4	0.009153	0
50.055294	5	0.011442	0
50.055294	6	0.013730	0
50.055294	7	0.016018	0
50.055294	8	0.018307	0
50.055294	9	0.020595	0
50.055294	10	0.022883	0
50.055294	437	1.000000	1
60.060394	1	0.002114	0
60.060394	2	0.004228	0
60.060394	3	0.006342	0
60.060394	4	0.008457	0
60.060394	5	0.010571	0
60.060394	6	0.012685	0
60.060394	7	0.014799	0
60.060394	8	0.016913	0
60.060394	9	0.019027	0
60.060394	10	0.021142	0
60.060394	473	1.000000	1
70.065094	1	0.001852	0
70.065094	2	0.003704	0
70.065094	3	0.005556	0
70.065094	4	0.007407	0
70.065094	5	0.009259	0
70.065094	6	0.011111	0
70.065094	7	0.012963	0
70.065094	8	0.014815	0
70.065094	9	0.016667	0
70.065094	10	0.018519	0
70.065094	540	1.000000	1
80.071609	1	0.001558	0
80.071609	2	0.003115	0
80.071609	3	0.004673	0
80.071609	4	0.006231	0
80.071609	5	0.007788	0
80.071609	6	0.009346	0
80.071609	7	0.010903	0
80.071609	8	0.012461	0
80.071609	9	0.014019	0
80.071609	10	0.015576	0
80.071609	642	1.000000	1
90.075874	1	0.001081	0
90.075874	2	0.002162	0
90.075874	3	0.003243	0
90.075874	4	0.004324	0
90.075874	5	0.005405	0
90.075874	6	0.006486	0
90.075874	7	0.007568	0
90.075874	8	0.008649	0
90.075874	9	0.009730	0
90.075874	10	0.010811	0
90.075874	925	1.000000	1
100.078102	1	0.000749	0
100.078102	2	0.001497	0
100.078102	3	0.002246	0
100.078102	4	0.002994	0
100.078102	5	0.003743	0
100.078102	6	0.004491	0
100.078102	7	0.005240	0
100.078102	8	0.005988	0
100.078102	9	0.006737	0
100.078102	10	0.007485	0
100.078102	1336	1.000000	1
110.079361	1	0.000570	0
110.079361	2	0.001140	0
110.079361	3	0.001710	0
110.079361	4	0.002281	0
110.079361	5	0.002851	0
110.079361	6	0.003421	0
110.079361	7	0.003991	0
110.079361	8	0.004561	0
110.079361	9	0.005131	0
110.079361	10	0.005701	0
110.079361	1754	1.000000	1
120.080894	1	0.000477	0
120.080894	2	0.000954	0
120.080894	3	0.001431	0
120.080894	4	0.001907	0
120.080894	5	0.002384	0
120.080894	6	0.002861	0
120.080894	7	0.003338	0
120.080894	8	0.003815	0
120.080894	9	0.004292	0
120.080894	10	0.004769	0
120.080894	2097	1.000000	1
130.082336	1	0.000412	0
130.082336	2	0.000824	0
130.082336	3	0.001236	0
130.082336	4	0.001648	0
130.082336	5	0.002060	0
130.082336	6	0.002472	0
130.082336	7	0.002884	0
130.082336	8	0.003296	0
130.082336	9	0.003708	0
130.082336	10	0.004120	0
130.082336	2427	1.000000	1
140.083282	1	0.000316	0
140.083282	2	0.000633	0
140.083282	3	0.000949	0
140.083282	4	0.001265	0
140.083282	5	0.001581	0
140.083282	6	0.001898	0
140.083282	7	0.002214	0
140.083282	8	0.002530	0
140.083282	9	0.002846	0
140.083282	10	0.003163	0
140.083282	3162	1.000000	1
150.084396	1	0.000261	0
150.084396	2	0.000522	0
150.084396	3	0.000783	0
150.084396	4	0.001044	0
150.084396	5	0.001305	0
150.084396	6	0.001567	0
150.084396	7	0.001828	0
150.084396	8	0.002089	0
150.084396	9	0.002350	0
150.084396	10	0.002611	0
150.084396	3830	1.000000	1
160.085571	1	0.000227	0
160.085571	2	0.000455	0
160.085571	3	0.000682	0
160.085571	4	0.000909	0
160.085571	5	0.001137	0
160.085571	6	0.001364	0
160.085571	7	0.001591	0
160.085571	8	0.001819	0
160.085571	9	0.002046	0
160.085571	10	0.002273	0
160.085571	4399	1.000000	1
168.141312	1	0.000200	0
168.141312	2	0.000400	0
168.141312	3	0.000600	0
168.141312	4	0.000800	0
168.141312	5	0.001000	0
168.141312	6	0.001200	0
168.141312	7	0.001400	0
168.141312	8	0.001600	0
168.141312	9	0.001800	0
168.141312	10	0.002000	0
