Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	5
10.019196	2	0.071429	2
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	1
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	12	0.428571	1
20.037031	1	0.010309	9
20.037031	2	0.020619	7
20.037031	3	0.030928	2
20.037031	4	0.041237	2
20.037031	5	0.051546	3
20.037031	6	0.061856	0
20.037031	7	0.072165	1
20.037031	8	0.082474	1
20.037031	9	0.092784	1
20.037031	10	0.103093	0
20.037031	21	0.216495	1
30.047401	1	0.005814	19
30.047401	2	0.011628	13
30.047401	3	0.017442	5
30.047401	4	0.023256	3
30.047401	5	0.029070	3
30.047401	6	0.034884	1
30.047401	7	0.040698	2
30.047401	8	0.046512	0
30.047401	9	0.052326	2
30.047401	10	0.058140	0
30.047401	19	0.110465	1
30.047401	14	0.081395	2
40.053871	1	0.002725	70
40.053871	2	0.005450	27
40.053871	3	0.008174	19
40.053871	4	0.010899	4
40.053871	5	0.013624	9
40.053871	6	0.016349	4
40.053871	7	0.019074	3
40.053871	8	0.021798	4
40.053871	9	0.024523	1
40.053871	10	0.027248	1
40.053871	15	0.040872	1
40.053871	14	0.038147	1
50.055294	1	0.002288	88
50.055294	2	0.004577	29
50.055294	3	0.006865	25
50.055294	4	0.009153	8
50.055294	5	0.011442	0
50.055294	6	0.013730	3
50.055294	7	0.016018	4
50.055294	8	0.018307	1
50.055294	9	0.020595	2
50.055294	10	0.022883	2
50.055294	19	0.043478	1
50.055294	20	0.045767	1
50.055294	17	0.038902	1
50.055294	11	0.025172	2
50.055294	14	0.032037	1
60.060394	1	0.002114	85
60.060394	2	0.004228	39
60.060394	3	0.006342	20
60.060394	4	0.008457	6
60.060394	5	0.010571	11
60.060394	6	0.012685	11
60.060394	7	0.014799	0
60.060394	8	0.016913	3
60.060394	9	0.019027	2
60.060394	10	0.021142	1
60.060394	14	0.029598	1
60.060394	11	0.023256	2
60.060394	17	0.035941	1
70.065094	1	0.001852	96
70.065094	2	0.003704	41
70.065094	3	0.005556	21
70.065094	4	0.007407	16
70.065094	5	0.009259	10
70.065094	6	0.011111	5
70.065094	7	0.012963	5
70.065094	8	0.014815	2
70.065094	9	0.016667	0
70.065094	10	0.018519	0
70.065094	11	0.020370	1
70.065094	20	0.037037	1
70.065094	13	0.024074	1
70.065094	19	0.035185	1
70.065094	14	0.025926	1
70.065094	12	0.022222	1
70.065094	15	0.027778	1
80.071609	1	0.001558	106
80.071609	2	0.003115	44
80.071609	3	0.004673	23
80.071609	4	0.006231	15
80.071609	5	0.007788	15
80.071609	6	0.009346	9
80.071609	7	0.010903	4
80.071609	8	0.012461	4
80.071609	9	0.014019	1
80.071609	10	0.015576	2
80.071609	17	0.026480	1
80.071609	12	0.018692	1
80.071609	24	0.037383	1
80.071609	11	0.017134	1
80.071609	15	0.023364	1
80.071609	22	0.034268	1
90.075874	1	0.001081	151
90.075874	2	0.002162	72
90.075874	3	0.003243	40
90.075874	4	0.004324	23
90.075874	5	0.005405	16
90.075874	6	0.006486	12
90.075874	7	0.007568	8
90.075874	8	0.008649	6
90.075874	9	0.009730	4
90.075874	10	0.010811	3
90.075874	11	0.011892	3
90.075874	13	0.014054	1
90.075874	21	0.022703	1
90.075874	29	0.031351	1
100.078102	1	0.000749	244
100.078102	2	0.001497	109
100.078102	3	0.002246	52
100.078102	4	0.002994	35
100.078102	5	0.003743	19
100.078102	6	0.004491	10
100.078102	7	0.005240	8
100.078102	8	0.005988	8
100.078102	9	0.006737	10
100.078102	10	0.007485	1
100.078102	12	0.008982	3
100.078102	11	0.008234	4
100.078102	17	0.012725	1
100.078102	15	0.011228	1
100.078102	13	0.009731	1
100.078102	22	0.016467	1
100.078102	28	0.020958	1
100.078102	14	0.010479	2
110.079361	1	0.000570	339
110.079361	2	0.001140	125
110.079361	3	0.001710	60
110.079361	4	0.002281	63
110.079361	5	0.002851	24
110.079361	6	0.003421	16
110.079361	7	0.003991	8
110.079361	8	0.004561	8
110.079361	9	0.005131	8
110.079361	10	0.005701	2
110.079361	15	0.008552	2
110.079361	22	0.012543	2
110.079361	19	0.010832	1
110.079361	12	0.006842	1
110.079361	24	0.013683	1
110.079361	17	0.009692	3
110.079361	11	0.006271	3
110.079361	21	0.011973	1
110.079361	13	0.007412	3
110.079361	14	0.007982	1
110.079361	18	0.010262	1
120.080894	1	0.000477	388
120.080894	2	0.000954	144
120.080894	3	0.001431	81
120.080894	4	0.001907	47
120.080894	5	0.002384	37
120.080894	6	0.002861	33
120.080894	7	0.003338	17
120.080894	8	0.003815	7
120.080894	9	0.004292	6
120.080894	10	0.004769	7
120.080894	24	0.011445	2
120.080894	27	0.012876	1
120.080894	17	0.008107	1
120.080894	13	0.006199	3
120.080894	16	0.007630	2
120.080894	12	0.005722	4
120.080894	14	0.006676	4
120.080894	11	0.005246	2
120.080894	19	0.009061	1
130.082336	1	0.000412	446
130.082336	2	0.000824	179
130.082336	3	0.001236	102
130.082336	4	0.001648	59
130.082336	5	0.002060	32
130.082336	6	0.002472	21
130.082336	7	0.002884	18
