Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
0	0	0	0	0	0	1	0	1.000000	0.001458	0.000000	1000000
26820	0	25	25	1	0	1	0	1.507542	0.001458	304.927765	1000000
0	25	50	50	2	0	1	0	1.690915	0.001458	359.292175	338724
0	109	151	151	3	0	1	0	2.220891	0.001458	438.268616	5338
15057	25	109	109	2	0	1	0	2.080762	0.001458	414.641449	23638
271321	25	126	126	2	0	1	0	2.280894	0.001458	422.401764	603379
119277	50	159	159	3	0	1	0	2.313457	0.001458	440.285034	338724
7419	25	170	170	2	0	1	0	1.766016	0.001458	444.873779	7419
569	159	239	239	4	0	1	0	2.587440	0.001458	470.056641	4668
453	126	347	347	3	0	1	0	2.850829	0.001458	491.462494	618
31468	126	455	455	3	0	1	0	2.438167	0.001458	504.543762	31570
11859	126	491	491	3	0	1	0	3.332131	0.001458	508.460632	239351
28	159	534	534	4	0	1	0	2.604510	0.001458	513.881226	28
402	126	592	592	3	0	1	1	2.569620	0.001458	520.531921	402
35836	159	588	588	4	0	1	0	2.842756	0.001458	520.062195	41647
135	126	710	710	3	0	1	0	2.919655	0.001458	528.686646	188
299	151	625	625	4	0	1	0	2.899506	0.001458	522.575928	5338
0	126	930	930	3	0	1	0	2.497251	0.001458	542.670776	4469
0	491	621	621	4	0	1	0	3.721925	0.001458	522.340149	226872
284	126	645	645	3	0	1	0	2.781575	0.001458	523.408875	15959
173	159	695	695	4	0	1	0	2.542719	0.001458	527.432190	173
8303	159	911	911	4	0	1	0	2.660227	0.001458	541.768799	8531
8439	159	818	818	4	0	1	0	2.748642	0.001458	536.206848	8818
12960	159	777	777	4	0	1	0	2.910716	0.001458	533.217407	15253
4140	930	1179	1179	4	0	1	0	3.171069	0.001458	555.858337	4469
2087	159	940	940	4	0	1	0	2.697778	0.001458	543.299683	2090
414	159	1083	1083	4	0	1	0	2.401403	0.001458	551.136536	414
552	126	956	956	3	0	1	0	2.376677	0.001458	544.302917	765
851	159	1075	1075	4	0	1	0	2.407804	0.001458	550.800903	851
1970	239	1094	1094	5	0	1	0	2.963162	0.001458	551.746155	1985
1725	126	1177	1177	3	0	1	0	3.057215	0.001458	555.709656	1725
88186	159	1204	1204	4	0	1	0	3.197582	0.001458	557.360657	111484
