Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	5
10.019196	2	0.071429	2
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	1
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	12	0.428571	1
20.037031	1	0.010309	9
20.037031	2	0.020619	7
20.037031	3	0.030928	2
20.037031	4	0.041237	2
20.037031	5	0.051546	3
20.037031	6	0.061856	0
20.037031	7	0.072165	1
20.037031	8	0.082474	1
20.037031	9	0.092784	1
20.037031	10	0.103093	0
20.037031	21	0.216495	1
30.046728	1	0.005291	32
30.046728	2	0.010582	9
30.046728	3	0.015873	11
30.046728	4	0.021164	3
30.046728	5	0.026455	5
30.046728	6	0.031746	2
30.046728	7	0.037037	1
30.046728	8	0.042328	0
30.046728	9	0.047619	2
30.046728	10	0.052910	2
30.046728	12	0.063492	1
40.050816	1	0.002976	60
40.050816	2	0.005952	28
40.050816	3	0.008929	12
40.050816	4	0.011905	13
40.050816	5	0.014881	9
40.050816	6	0.017857	2
40.050816	7	0.020833	1
40.050816	8	0.023810	1
40.050816	9	0.026786	2
40.050816	10	0.029762	0
40.050816	31	0.092262	1
40.050816	11	0.032738	1
50.053997	1	0.002381	84
50.053997	2	0.004762	28
50.053997	3	0.007143	16
50.053997	4	0.009524	6
50.053997	5	0.011905	8
50.053997	6	0.014286	6
50.053997	7	0.016667	2
50.053997	8	0.019048	2
50.053997	9	0.021429	2
50.053997	10	0.023810	1
50.053997	12	0.028571	3
50.053997	11	0.026190	1
50.053997	14	0.033333	1
50.053997	13	0.030952	1
60.056282	1	0.001905	109
60.056282	2	0.003810	50
60.056282	3	0.005714	17
60.056282	4	0.007619	11
60.056282	5	0.009524	10
60.056282	6	0.011429	12
60.056282	7	0.013333	2
60.056282	8	0.015238	0
60.056282	9	0.017143	1
60.056282	10	0.019048	0
60.056282	11	0.020952	3
60.056282	14	0.026667	1
60.056282	13	0.024762	1
60.056282	16	0.030476	1
70.060707	1	0.001754	96
70.060707	2	0.003509	40
70.060707	3	0.005263	36
70.060707	4	0.007018	19
70.060707	5	0.008772	6
70.060707	6	0.010526	6
70.060707	7	0.012281	6
70.060707	8	0.014035	2
70.060707	9	0.015789	2
70.060707	10	0.017544	0
70.060707	14	0.024561	1
70.060707	16	0.028070	2
70.060707	11	0.019298	2
80.064461	1	0.001558	113
80.064461	2	0.003115	50
80.064461	3	0.004673	20
80.064461	4	0.006231	18
80.064461	5	0.007788	8
80.064461	6	0.009346	9
80.064461	7	0.010903	7
80.064461	8	0.012461	2
80.064461	9	0.014019	7
80.064461	10	0.015576	2
80.064461	12	0.018692	3
80.064461	19	0.029595	1
90.067116	1	0.001271	155
90.067116	2	0.002541	65
90.067116	3	0.003812	26
90.067116	4	0.005083	17
90.067116	5	0.006353	11
90.067116	6	0.007624	6
90.067116	7	0.008895	8
90.067116	8	0.010165	3
90.067116	9	0.011436	5
90.067116	10	0.012706	6
90.067116	11	0.013977	1
90.067116	14	0.017789	1
90.067116	15	0.019060	2
90.067116	13	0.016518	1
90.067116	12	0.015248	1
100.070351	1	0.001198	145
100.070351	2	0.002395	52
100.070351	3	0.003593	35
100.070351	4	0.004790	31
100.070351	5	0.005988	15
100.070351	6	0.007186	5
100.070351	7	0.008383	8
100.070351	8	0.009581	6
100.070351	9	0.010778	0
100.070351	10	0.011976	4
100.070351	11	0.013174	2
100.070351	22	0.026347	1
100.070351	18	0.021557	2
100.070351	13	0.015569	1
100.070351	15	0.017964	1
110.073860	1	0.001045	161
110.073860	2	0.002090	70
110.073860	3	0.003135	44
110.073860	4	0.004180	29
110.073860	5	0.005225	11
110.073860	6	0.006270	8
110.073860	7	0.007315	6
110.073860	8	0.008359	3
110.073860	9	0.009404	5
110.073860	10	0.010449	3
110.073860	16	0.016719	2
110.073860	11	0.011494	4
110.073860	12	0.012539	2
110.073860	13	0.013584	2
110.073860	17	0.017764	1
110.073860	21	0.021944	1
120.075172	1	0.001081	169
120.075172	2	0.002162	71
120.075172	3	0.003243	36
120.075172	4	0.004324	19
120.075172	5	0.005405	20
120.075172	6	0.006486	8
120.075172	7	0.007568	6
120.075172	8	0.008649	9
120.075172	9	0.009730	3
120.075172	10	0.010811	2
120.075172	14	0.015135	1
120.075172	13	0.014054	1
120.075172	33	0.035676	1
120.075172	15	0.016216	1
120.075172	11	0.011892	2
120.075172	12	0.012973	2
130.078583	1	0.000918	206
130.078583	2	0.001837	78
130.078583	3	0.002755	39
130.078583	4	0.003673	22
130.078583	5	0.004591	13
130.078583	6	0.005510	15
130.078583	7	0.006428	11
130.078583	8	0.007346	4
130.078583	9	0.008264	3
130.078583	10	0.009183	5
130.078583	30	0.027548	1
130.078583	15	0.013774	3
130.078583	31	0.028466	1
130.078583	11	0.010101	1
130.078583	17	0.015611	1
130.078583	12	0.011019	1
130.078583	21	0.019284	1
130.078583	14	0.012856	1
140.080872	1	0.000796	260
140.080872	2	0.001591	85
140.080872	3	0.002387	35
140.080872	4	0.003182	43
140.080872	5	0.003978	22
140.080872	6	0.004773	11
140.080872	7	0.005569	7
140.080872	8	0.006364	5
